Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Kenya,KEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.884,2.876,2.916,2.869,2.844,2.739,2.673,2.642,2.751,2.816,2.793,2.699,2.678,2.762,2.767,2.762,2.757,3.542,4.284,5.014,5.613,5.693,5.565,5.409
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.599695390807426,3.77990649795343,0.546859530175595,2.93247554570904,5.10429977629738,5.90666607980057,6.47249430015484,6.85072976998784,0.232282744812977,3.30693981631089,8.05847360290906,5.1211061197056,4.56867961444982,3.7978483925754,5.02011100232484,4.96772112759767,4.21351706814744,3.83795817364721,5.64794640709219,5.11415885767801,-0.272766327438816,7.59048947333467,4.85998104287999,5.71999241214208
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,414.626365130846,410.700452474814,402.936385605382,442.898457253405,463.662781300121,523.456312433863,699.80237063381,840.201439476765,915.54435473604,1047.9678324485,1091.51873101194,1096.14499807675,1285.00536171512,1370.87885214659,1482.81566253497,1489.11959777284,1554.12610314423,1667.48447230835,1836.45275528993,1960.40808854893,1927.66459027849,2061.35622089594,2109.56288513137,1942.58802756191
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.98002515350979,5.73859814341467,1.96130821739162,9.81569062979654,11.6240355442426,10.3127783574683,14.4537342081708,9.75888023027529,26.2398166445063,9.23412592394652,3.96138889115385,14.0224913014704,9.37777003547598,5.71749357037733,6.87815499275949,6.58215429284779,6.29724953814625,8.00564967709945,4.6898064677633,5.23963795764792,5.40516207933392,6.10793603659176,7.65986268272224,7.67139634029402
Kenya,KEN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,72.512,72.633,72.753,72.873,72.993,73.113,73.232,73.351,73.469,73.587,73.705,73.823,73.94,74.057,74.173,74.289,74.405,72.306,70.103,67.803,67.081,67.462,67.503,67.463
Kenya,KEN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,92.5299987792969,..,..,..,..,..,..,..,..,..,..,..,..,..,93.18,..,..,..,..,..,..,..,..,..
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.4553832211834,20.4416297068833,21.8586568137501,23.563889811899,25.4147539714454,27.2686745625048,28.9830768551925,30.4153861196239,31.4230276259143,31.8603086707305,31.8713287706458,31.8673949025409,31.8558130142761,31.8324454433988,31.7931545274563,31.7338026039958,31.6502520105647,31.5383650847102,31.3940041639796,31.1895566421135,31.2063494632616,31.2879334021971,31.4307820066946,31.6330340816429
Kenya,KEN,Population growth (annual %),SP.POP.GROW,3.01293994477925,3.13629206541925,3.14626442047843,3.08528898836117,3.10482476419105,3.07223123352542,3.04704867411558,3.02220921188685,3.02964938264436,3.0211086032266,2.90158845467743,2.75013743696978,2.6080744180495,2.47210752389349,2.33901192230694,2.2270329432256,2.20775684612709,2.17412854990493,2.03083744189606,1.96381549826771,1.96197633664853,1.90040858948898,1.92297608206469,1.98296028478422
Uganda,UGA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.531,3.522,3.5,3.6,2.699,1.9,2.264,2.667,3.035,3.6,3.623,3.523,3.551,1.91,2.357,2.681,3.002,3.428,3.249,3.057,3.819,3.416,2.885,2.754
Uganda,UGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.141907338187,5.18366112490236,8.73268576440127,6.47325867166543,6.80723334361883,6.33256511623156,10.7847443857453,8.41242596551071,8.70875190154499,6.80151734860395,5.63761163749757,9.3916554927176,3.83745560605229,3.58690582623025,5.10630732539796,5.18785986002466,4.78100029254482,3.13140551723596,6.30392378262997,6.43874503276439,2.95130642218098,3.53658034070898,4.58802192181773,5.33697295511469
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,258.050338731086,236.021188853993,241.984688408335,250.71543664681,292.38185796262,330.405402707025,346.518255310647,401.389130865581,472.842681495852,798.947089938247,823.488144282,835.620060555838,795.222867553127,818.285427416713,896.054795546394,862.934610355811,752.696571725656,765.218332297361,792.16570022814,822.171150036357,845.766463890124,882.791717542504,963.067314117178,1002.30913917142
Uganda,UGA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.39202158512998,1.86512524084773,-0.287508511765196,8.68047651566884,3.72128743978228,8.44872642299532,7.31067613561864,6.1385108328505,12.0508555482886,13.0172561889185,3.97655288478168,16.5643496174515,12.6790377224659,4.90520875694557,3.07570668958641,5.58968606251725,5.70637504616212,5.20971705914209,2.61601190952274,2.867588034469,3.31332289544502,2.20457204757414,7.1957888597581,5.35094804280395
